,term,leaderId,creationTime,storageTime,serverId
0,0,-1,,,1
1,1,3,1730590053.7934682,1730590054.6962624,1
2,1,3,1730590053.8367357,1730590054.7696266,1
3,1,3,1730590053.996517,1730590054.7717974,1
4,1,3,1730590054.0947723,1730590054.792628,1
5,1,3,1730590054.1954558,1730590054.8116684,1
6,1,3,1730590054.2383523,1730590054.8122544,1
7,1,3,1730590054.2728045,1730590054.813475,1
8,1,3,1730590054.2972014,1730590054.8196614,1
9,1,3,1730590054.3187003,1730590054.8237188,1
10,1,3,1730590054.363749,1730590054.849657,1
11,1,3,1730590054.3941307,1730590054.8542275,1
12,1,3,1730590054.494995,1730590054.8584251,1
13,1,3,1730590054.5954437,1730590054.8625476,1
14,1,3,1730590054.6943145,1730590054.866391,1
15,1,3,1730590054.7365167,1730590054.8699481,1
16,1,3,1730590054.7619271,1730590054.8736176,1
17,1,3,1730590054.7830703,1730590054.878291,1
18,1,3,1730590054.8061182,1730590054.8823714,1
19,1,3,1730590054.8275392,1730590054.885523,1
20,1,3,1730590054.8486962,1730590054.8892143,1
21,1,3,1730590054.869839,1730590054.89211,1
22,1,3,1730590054.89106,1730590054.8944795,1
23,1,3,1730590054.934534,1730590054.9358442,1
24,1,3,1730590054.9940693,1730590054.9947748,1
25,1,3,1730590055.0932968,1730590055.0938947,1
26,1,3,1730590055.193412,1730590055.1940653,1
27,1,3,1730590055.293588,1730590055.2943184,1
28,1,3,1730590055.3938177,1730590055.3945463,1
29,1,3,1730590055.4941092,1730590055.4947658,1
30,1,3,1730590055.5933437,1730590055.593939,1
31,1,3,1730590055.6941798,1730590055.6949036,1
32,1,3,1730590055.7936502,1730590055.7943025,1
33,1,3,1730590055.893865,1730590055.894733,1
34,1,3,1730590055.9940472,1730590055.994674,1
35,1,3,1730590056.0933228,1730590056.093934,1
36,1,3,1730590056.1936524,1730590056.1943238,1
37,1,3,1730590056.2937233,1730590056.294366,1
38,1,3,1730590056.393952,1730590056.3946376,1
39,1,3,1730590056.493166,1730590056.4938855,1
40,1,3,1730590056.5934873,1730590056.5941262,1
41,1,3,1730590056.6936576,1730590056.6943119,1
42,1,3,1730590056.794397,1730590056.7954552,1
43,1,3,1730590056.8934422,1730590056.8941998,1
44,1,3,1730590056.9934995,1730590056.9941587,1
45,1,3,1730590057.0937297,1730590057.0943673,1
46,1,3,1730590057.1939898,1730590057.1946552,1
47,1,3,1730590057.293259,1730590057.2938538,1
48,1,3,1730590057.3934383,1730590057.3941307,1
49,1,3,1730590057.4935608,1730590057.4942298,1
50,1,3,1730590057.5937471,1730590057.5944464,1
51,1,3,1730590057.6939266,1730590057.694671,1
52,1,3,1730590057.7931936,1730590057.793861,1
53,1,3,1730590057.8934367,1730590057.894135,1
54,1,3,1730590057.9936213,1730590057.9943156,1
55,1,3,1730590058.0939078,1730590058.0946164,1
56,1,3,1730590058.1941595,1730590058.1948278,1
57,1,3,1730590058.2933905,1730590058.293974,1
58,1,3,1730590058.3934677,1730590058.3941388,1
59,1,3,1730590058.4936771,1730590058.494339,1
60,1,3,1730590058.5939922,1730590058.5946736,1
61,1,3,1730590058.694041,1730590058.694695,1
62,1,3,1730590058.7932389,1730590058.7938926,1
63,1,3,1730590058.8933759,1730590058.8939447,1
64,1,3,1730590058.9936323,1730590058.9943213,1
65,1,3,1730590059.0936065,1730590059.0942142,1
66,1,3,1730590059.1938882,1730590059.194543,1
67,1,3,1730590059.294056,1730590059.2947195,1
68,1,3,1730590059.3932705,1730590059.3938563,1
69,1,3,1730590059.493377,1730590059.4939954,1
70,1,3,1730590059.5935466,1730590059.5941741,1
71,1,3,1730590059.693754,1730590059.694443,1
72,1,3,1730590059.7940485,1730590059.7947767,1
73,1,3,1730590059.8933976,1730590059.894111,1
74,1,3,1730590059.9934032,1730590059.994013,1
75,1,3,1730590060.093706,1730590060.094351,1
76,1,3,1730590060.1937995,1730590060.1945617,1
77,1,3,1730590060.2940874,1730590060.294759,1
78,1,3,1730590060.3939748,1730590060.394615,1
79,1,3,1730590060.4933124,1730590060.4939625,1
80,1,3,1730590060.5934494,1730590060.594052,1
81,1,3,1730590060.693527,1730590060.694165,1
82,1,3,1730590060.7937796,1730590060.794451,1
83,1,3,1730590060.8940966,1730590060.8948345,1
84,1,3,1730590060.9931574,1730590060.9937947,1
85,1,3,1730590061.0931208,1730590061.0937464,1
86,1,3,1730590061.1933358,1730590061.1938844,1
87,1,3,1730590061.2951133,1730590061.2959018,1
88,1,3,1730590061.393926,1730590061.3945484,1
89,1,3,1730590061.4931602,1730590061.4938264,1
90,1,3,1730590061.5934393,1730590061.5940351,1
91,1,3,1730590061.6934962,1730590061.6941154,1
92,1,3,1730590061.7936265,1730590061.7942526,1
93,1,3,1730590061.8938909,1730590061.8945396,1
94,1,3,1730590061.9940877,1730590061.9948328,1
95,1,3,1730590062.093318,1730590062.0938702,1
96,1,3,1730590062.1935978,1730590062.1942596,1
97,1,3,1730590062.2937248,1730590062.294319,1
98,1,3,1730590062.3938813,1730590062.394516,1
99,1,3,1730590062.493036,1730590062.4936671,1
100,1,3,1730590062.593345,1730590062.593948,1
101,1,3,1730590062.6933541,1730590062.69448,1
102,1,3,1730590062.793515,1730590062.7941253,1
103,1,3,1730590062.8937464,1730590062.8942847,1
104,1,3,1730590062.99384,1730590062.9943743,1
105,1,3,1730590063.09326,1730590063.0939045,1
106,1,3,1730590063.1931996,1730590063.193722,1
107,1,3,1730590063.2933903,1730590063.2940445,1
108,1,3,1730590063.3935647,1730590063.3941383,1
109,1,3,1730590063.4937298,1730590063.4943357,1
110,19,5,1730590069.4644544,1730590069.4770277,1
111,19,5,1730590069.4900086,1730590069.4912908,1
112,19,5,1730590069.6660447,1730590069.6725821,1
113,19,5,1730590069.7654681,1730590069.7685487,1
114,19,5,1730590069.8645139,1730590069.8677819,1
115,19,5,1730590069.965181,1730590069.968407,1
116,19,5,1730590070.0649338,1730590070.0707695,1
117,19,5,1730590070.1651983,1730590070.169079,1
118,19,5,1730590070.265594,1730590070.268275,1
119,19,5,1730590070.364682,1730590070.368794,1
120,19,5,1730590070.405367,1730590070.4064538,1
121,19,5,1730590070.4625556,1730590070.4637575,1
122,19,5,1730590070.5650578,1730590070.5667856,1
123,19,5,1730590070.6655285,1730590070.6672642,1
124,19,5,1730590070.7645538,1730590070.775233,1
125,19,5,1730590070.7947042,1730590070.7955942,1
126,19,5,1730590070.843697,1730590070.844818,1
127,19,5,1730590070.8648612,1730590070.8662922,1
128,19,5,1730590070.9055362,1730590070.906498,1
129,19,5,1730590070.9649997,1730590070.966798,1
130,19,5,1730590071.0651846,1730590071.0666506,1
131,19,5,1730590071.1645684,1730590071.166287,1
132,19,5,1730590071.264602,1730590071.2661736,1
133,19,5,1730590071.364847,1730590071.366268,1
134,19,5,1730590071.4649854,1730590071.4664495,1
135,19,5,1730590071.565199,1730590071.5667846,1
136,19,5,1730590071.6643229,1730590071.665886,1
137,19,5,1730590071.7646036,1730590071.7660851,1
138,19,5,1730590071.8648071,1730590071.8662663,1
139,19,5,1730590071.9649904,1730590071.9665134,1
140,19,5,1730590072.065318,1730590072.0676613,1
141,19,5,1730590072.1644342,1730590072.165883,1
142,19,5,1730590072.2646081,1730590072.266197,1
143,19,5,1730590072.364929,1730590072.3666577,1
144,19,5,1730590072.4651775,1730590072.4665024,1
145,19,5,1730590072.5642707,1730590072.5659542,1
146,19,5,1730590072.664427,1730590072.6659467,1
147,19,5,1730590072.764719,1730590072.7662635,1
148,19,5,1730590072.8647966,1730590072.8665226,1
149,19,5,1730590072.9650397,1730590072.9666023,1
150,19,5,1730590073.0643282,1730590073.0659363,1
151,19,5,1730590073.1677077,1730590073.1694996,1
152,19,5,1730590073.2650998,1730590073.2666337,1
153,19,5,1730590073.3642354,1730590073.3657148,1
154,19,5,1730590073.4643915,1730590073.4660876,1
155,19,5,1730590073.564529,1730590073.5660903,1
156,19,5,1730590073.6647482,1730590073.6662092,1
157,19,5,1730590073.7649322,1730590073.7664783,1
158,19,5,1730590073.86526,1730590073.8668354,1
159,19,5,1730590073.9643643,1730590073.9660501,1
160,19,5,1730590074.0647292,1730590074.0662603,1
161,19,5,1730590074.1649342,1730590074.1665418,1
162,19,5,1730590074.2651901,1730590074.266787,1
163,19,5,1730590074.3644242,1730590074.367185,1
164,19,5,1730590074.4646277,1730590074.4670937,1
165,19,5,1730590074.564797,1730590074.5662627,1
166,19,5,1730590074.6649005,1730590074.666445,1
167,19,5,1730590074.7651787,1730590074.766718,1
168,19,5,1730590074.8644123,1730590074.8660493,1
169,19,5,1730590074.9644876,1730590074.966111,1
170,19,5,1730590075.0648227,1730590075.066229,1
171,19,5,1730590075.1649458,1730590075.1663418,1
172,19,5,1730590075.2650957,1730590075.266531,1
173,19,5,1730590075.3645496,1730590075.366067,1
174,19,5,1730590075.4646473,1730590075.4661093,1
175,19,5,1730590075.5649447,1730590075.5663528,1
176,19,5,1730590075.6651485,1730590075.6666,1
177,19,5,1730590075.764166,1730590075.7656195,1
178,19,5,1730590075.8643537,1730590075.8659031,1
179,19,5,1730590075.9645808,1730590075.9660397,1
180,19,5,1730590076.0647416,1730590076.0661445,1
181,19,5,1730590076.164949,1730590076.1664388,1
182,19,5,1730590076.2641072,1730590076.2654953,1
183,19,5,1730590076.3642895,1730590076.3663163,1
184,19,5,1730590076.464442,1730590076.466004,1
185,19,5,1730590076.5646603,1730590076.5661101,1
186,19,5,1730590076.6647434,1730590076.666869,1
187,19,5,1730590076.7650452,1730590076.7664735,1
188,19,5,1730590076.8641276,1730590076.8655422,1
189,19,5,1730590076.9643414,1730590076.9659088,1
190,19,5,1730590077.0644457,1730590077.0659595,1
191,19,5,1730590077.1645973,1730590077.1660554,1
192,19,5,1730590077.2648091,1730590077.266106,1
193,19,5,1730590077.3649926,1730590077.36644,1
194,19,5,1730590077.4641502,1730590077.465562,1
195,19,5,1730590077.5643852,1730590077.5658731,1
196,19,5,1730590077.6645122,1730590077.6660252,1
197,19,5,1730590077.7647026,1730590077.766052,1
198,19,5,1730590077.8648767,1730590077.8662074,1
199,19,5,1730590077.9640837,1730590077.9654996,1
200,19,5,1730590078.0641968,1730590078.0654447,1
201,19,5,1730590078.1644394,1730590078.1669462,1
202,19,5,1730590078.2645402,1730590078.2658658,1
203,19,5,1730590078.3647969,1730590078.3660846,1
204,19,5,1730590078.4649885,1730590078.4662838,1
205,19,5,1730590078.5642235,1730590078.5660949,1
206,19,5,1730590078.6643407,1730590078.6657999,1
207,19,5,1730590078.7645397,1730590078.7660153,1
208,19,5,1730590078.864774,1730590078.8660464,1
209,19,5,1730590078.9649491,1730590078.966422,1
210,19,5,1730590079.064164,1730590079.065589,1
211,19,5,1730590079.1643395,1730590079.1657956,1
212,19,5,1730590079.264485,1730590079.2659104,1
213,19,5,1730590079.364614,1730590079.3659046,1
214,19,5,1730590079.4647095,1730590079.4659426,1
215,19,5,1730590079.5649538,1730590079.5662827,1
216,19,5,1730590079.6641872,1730590079.665431,1
217,19,5,1730590079.764401,1730590079.7657304,1
218,19,5,1730590079.864439,1730590079.8657718,1
219,19,5,1730590079.9646232,1730590079.9659803,1
220,19,5,1730590080.0652118,1730590080.0666444,1
221,19,5,1730590080.1651545,1730590080.1663296,1
222,19,5,1730590080.2641492,1730590080.2662451,1
223,19,5,1730590080.3642812,1730590080.3654516,1
224,19,5,1730590080.4644158,1730590080.4656577,1
225,19,5,1730590080.564548,1730590080.565884,1
226,19,5,1730590080.664795,1730590080.6660588,1
227,19,5,1730590080.7649837,1730590080.7663062,1
228,19,5,1730590080.8641987,1730590080.865444,1
229,19,5,1730590080.9643135,1730590080.9656522,1
230,19,5,1730590081.0645313,1730590081.0659356,1
231,19,5,1730590081.1647909,1730590081.166073,1
232,19,5,1730590081.264993,1730590081.266406,1
233,19,5,1730590081.3641226,1730590081.3654475,1
234,19,5,1730590081.4643703,1730590081.4657443,1
235,19,5,1730590081.5645065,1730590081.565886,1
236,19,5,1730590081.6646528,1730590081.6659532,1
237,19,5,1730590081.7648919,1730590081.7662215,1
238,19,5,1730590081.864161,1730590081.865489,1
239,19,5,1730590081.964248,1730590081.9654694,1
240,19,5,1730590082.0643542,1730590082.0668082,1
241,19,5,1730590082.164617,1730590082.1659024,1
242,19,5,1730590082.264658,1730590082.2659311,1
243,19,5,1730590082.364935,1730590082.3661158,1
244,19,5,1730590082.464106,1730590082.4653747,1
245,19,5,1730590082.564304,1730590082.565515,1
246,19,5,1730590082.6644354,1730590082.6657681,1
247,19,5,1730590082.7645612,1730590082.765833,1
248,19,5,1730590082.8647256,1730590082.8659742,1
249,19,5,1730590082.9649656,1730590082.9661999,1
250,19,5,1730590083.064043,1730590083.0654175,1
251,19,5,1730590083.1642396,1730590083.1654,1
252,19,5,1730590083.264351,1730590083.2656584,1
253,19,5,1730590083.3645926,1730590083.3659034,1
254,19,5,1730590083.4647343,1730590083.4659595,1
255,19,5,1730590083.5648677,1730590083.6666124,1
256,19,5,1730590083.665039,1730590083.667214,1
257,19,5,1730590083.764156,1730590083.7653205,1
258,19,5,1730590083.8643234,1730590083.8656578,1
259,19,5,1730590083.8856401,1730590083.8864696,1
260,19,5,1730590083.9068058,1730590083.9075887,1
261,19,5,1730590083.927998,1730590083.928777,1
262,19,5,1730590083.964018,1730590083.9653513,1
263,19,5,1730590084.0044951,1730590084.0053155,1
264,20,8,1730590084.3414888,1730590084.3531933,1
265,20,8,1730590084.5435374,1730590084.5488968,1
266,20,8,1730590084.6417868,1730590084.6439326,1
267,20,8,1730590084.7418787,1730590084.7441235,1
268,20,8,1730590084.841175,1730590084.8433697,1
269,20,8,1730590084.941465,1730590084.943532,1
270,20,8,1730590085.0416057,1730590085.046315,1
271,20,8,1730590085.1418517,1730590085.1438475,1
272,20,8,1730590085.2420878,1730590085.2438385,1
273,20,8,1730590085.3412015,1730590085.34358,1
274,20,8,1730590085.4517157,1730590085.457508,1
275,20,8,1730590085.5421197,1730590085.54386,1
276,20,8,1730590085.641471,1730590085.6430547,1
277,20,8,1730590085.7416818,1730590085.7432563,1
278,20,8,1730590085.8418195,1730590085.8435442,1
279,20,8,1730590085.9419134,1730590085.9435568,1
280,20,8,1730590086.0413074,1730590086.0430238,1
281,20,8,1730590086.14142,1730590086.1427567,1
282,20,8,1730590086.2415633,1730590086.2427826,1
283,20,8,1730590086.342025,1730590086.3434966,1
284,20,8,1730590086.4411092,1730590086.4422426,1
285,20,8,1730590086.5413258,1730590086.5425487,1
