,term,leaderId,creationTime,storageTime,serverId
0,0,-1,,,1
1,1,5,1730549878.8449707,1730549878.9123795,1
2,1,5,1730549878.877504,1730549878.915546,1
3,1,5,1730549878.9104786,1730549878.9177492,1
4,1,5,1730549878.9575398,1730549878.9596386,1
5,1,5,1730549879.0483828,1730549879.0520773,1
6,1,5,1730549879.146494,1730549879.1495893,1
7,1,5,1730549879.2458572,1730549879.2495334,1
8,1,5,1730549879.3463528,1730549879.3494124,1
9,1,5,1730549879.4464593,1730549879.4495678,1
10,1,5,1730549879.545749,1730549879.548603,1
11,1,5,1730549879.6460965,1730549879.649358,1
12,1,5,1730549879.7462883,1730549879.749217,1
13,1,5,1730549879.8455071,1730549879.846982,1
14,1,5,1730549879.945632,1730549879.9506936,1
15,1,5,1730549880.0465195,1730549880.0491068,1
16,1,5,1730549880.1466355,1730549880.1492271,1
17,1,5,1730549880.2453942,1730549880.2477808,1
18,1,5,1730549880.3452225,1730549880.347885,1
19,1,5,1730549880.4456115,1730549880.450169,1
20,1,5,1730549880.5461128,1730549880.5485628,1
21,1,5,1730549880.6449761,1730549880.6478293,1
22,1,5,1730549880.7452836,1730549880.7479243,1
23,1,5,1730549880.8455186,1730549880.8477373,1
24,1,5,1730549880.9458497,1730549880.9482465,1
25,1,5,1730549881.0456629,1730549881.0482426,1
26,1,5,1730549881.1453998,1730549881.1479354,1
27,1,5,1730549881.2453086,1730549881.2480817,1
28,1,5,1730549881.3455606,1730549881.3482516,1
29,1,5,1730549881.4457066,1730549881.4484,1
30,1,5,1730549881.5458887,1730549881.5481355,1
31,1,5,1730549881.6450806,1730549881.647292,1
32,1,5,1730549881.745156,1730549881.747758,1
33,1,5,1730549881.8456042,1730549881.847862,1
34,1,5,1730549881.9456642,1730549881.9476492,1
35,1,5,1730549882.0447893,1730549882.046768,1
36,1,5,1730549882.14513,1730549882.1462169,1
37,1,5,1730549882.2457051,1730549882.2479734,1
38,1,5,1730549882.3455305,1730549882.347677,1
39,1,5,1730549882.4456842,1730549882.4467654,1
40,1,5,1730549882.5446806,1730549882.546817,1
41,1,5,1730549882.644998,1730549882.6473377,1
42,1,5,1730549882.7451024,1730549882.7473068,1
43,1,5,1730549882.845314,1730549882.8523707,1
44,1,5,1730549882.945438,1730549882.9512782,1
45,1,5,1730549883.0446749,1730549883.0482855,1
46,1,5,1730549883.1449568,1730549883.1459663,1
47,1,5,1730549883.2450294,1730549883.2469218,1
48,1,5,1730549883.3451352,1730549883.3471007,1
49,1,5,1730549883.4458668,1730549883.447721,1
50,1,5,1730549883.5446649,1730549883.5463572,1
51,1,5,1730549883.6447964,1730549883.6456802,1
52,1,5,1730549883.7448812,1730549883.7465954,1
53,1,5,1730549883.8450353,1730549883.846924,1
54,1,5,1730549883.9452186,1730549883.9468834,1
55,1,5,1730549884.045478,1730549884.0464673,1
56,1,5,1730549884.1446917,1730549884.1455784,1
57,1,5,1730549884.244712,1730549884.2464483,1
58,1,5,1730549884.3449104,1730549884.3466709,1
59,1,5,1730549884.4452202,1730549884.4461923,1
60,1,5,1730549884.5454242,1730549884.5471342,1
61,1,5,1730549884.6446426,1730549884.6462767,1
62,1,5,1730549884.7448993,1730549884.7458847,1
63,1,5,1730549884.844953,1730549884.8468513,1
64,1,5,1730549884.945076,1730549884.9468198,1
65,1,5,1730549885.0453382,1730549885.0472634,1
66,1,5,1730549885.1445007,1730549885.1461387,1
67,1,5,1730549885.244842,1730549885.2456222,1
68,1,5,1730549885.3449366,1730549885.3476894,1
69,1,5,1730549885.4451575,1730549885.446863,1
70,1,5,1730549885.5453308,1730549885.54624,1
71,1,5,1730549885.6444917,1730549885.6453424,1
72,1,5,1730549885.7447808,1730549885.7463894,1
73,1,5,1730549885.844879,1730549885.8456597,1
74,1,5,1730549885.9450119,1730549885.9458432,1
75,1,5,1730549886.0452073,1730549886.046077,1
76,1,5,1730549886.1444075,1730549886.1453085,1
77,1,5,1730549886.244595,1730549886.2460127,1
78,1,5,1730549886.3448145,1730549886.3455722,1
79,1,5,1730549886.4449692,1730549893.3814905,1
80,1,5,1730549886.783392,1730549893.3822358,1
81,1,5,1730549887.12162,1730549893.3827813,1
82,1,5,1730549887.4598758,1730549893.383382,1
83,1,5,1730549887.7980833,1730549893.3839571,1
84,1,5,1730549888.1363022,1730549893.384485,1
85,1,5,1730549888.4745765,1730549893.385008,1
86,1,5,1730549888.8128023,1730549893.3855822,1
87,1,5,1730549889.1510081,1730549893.386151,1
88,1,5,1730549889.489208,1730549893.386749,1
89,1,5,1730549889.8274066,1730549893.3873377,1
90,1,5,1730549890.1656036,1730549893.3882408,1
91,1,5,1730549890.5038176,1730549893.3888807,1
92,1,5,1730549890.8420186,1730549893.3898113,1
93,1,5,1730549891.1802344,1730549893.3904212,1
94,1,5,1730549891.5184386,1730549893.391146,1
95,1,5,1730549891.5442753,1730549893.3917925,1
96,1,5,1730549891.644732,1730549893.392524,1
97,1,5,1730549891.7449958,1730549893.3932016,1
98,1,5,1730549891.8449748,1730549893.393842,1
99,1,5,1730549891.8663907,1730549893.3946505,1
100,1,5,1730549891.9229307,1730549893.3953176,1
101,1,5,1730549891.9452655,1730549893.3962064,1
102,1,5,1730549892.0443892,1730549893.3967884,1
103,1,5,1730549892.144521,1730549893.3975759,1
104,1,5,1730549892.2446558,1730549893.398285,1
105,1,5,1730549892.3448648,1730549893.3988986,1
106,1,5,1730549892.4450474,1730549893.3995965,1
