,term,leaderId,creationTime,storageTime,serverId
0,0,-1,,,1
1,1,3,1730389604.6258664,1730389604.696337,1
2,1,3,1730389604.6571527,1730389604.6996596,1
3,1,3,1730389604.6942444,1730389604.7022374,1
4,1,3,1730389604.742168,1730389604.7442448,1
5,1,3,1730389604.8297775,1730389604.8332114,1
6,1,3,1730389604.9266758,1730389604.93002,1
7,1,3,1730389605.027293,1730389605.030628,1
8,1,3,1730389605.1273234,1730389605.1306462,1
9,1,3,1730389605.2277215,1730389605.2311442,1
10,1,3,1730389605.3269284,1730389605.3301435,1
11,1,3,1730389605.427011,1730389605.430281,1
12,1,3,1730389605.5276215,1730389605.5304415,1
13,1,3,1730389605.6267626,1730389605.6297219,1
14,1,3,1730389605.7271743,1730389605.7301679,1
15,1,3,1730389605.8275313,1730389605.8302326,1
16,1,3,1730389605.9265106,1730389605.9292376,1
17,1,3,1730389606.0268407,1730389606.0293927,1
18,1,3,1730389606.127246,1730389606.1287398,1
19,1,3,1730389606.2262928,1730389606.2289171,1
20,1,3,1730389606.326795,1730389606.3282783,1
21,1,3,1730389606.4268029,1730389606.4297805,1
22,1,3,1730389606.5270846,1730389606.5300727,1
23,1,3,1730389606.6261551,1730389606.6287563,1
24,1,3,1730389606.7264242,1730389606.7288053,1
25,1,3,1730389606.8268182,1730389606.829266,1
26,1,3,1730389606.9270062,1730389606.9296434,1
27,1,3,1730389607.0264075,1730389607.0327275,1
28,1,3,1730389607.126332,1730389607.1288297,1
29,1,3,1730389607.2266197,1730389607.2292097,1
30,1,3,1730389607.3268304,1730389607.3291588,1
31,1,3,1730389607.4268568,1730389607.429154,1
32,1,3,1730389607.5261197,1730389607.528611,1
33,1,3,1730389607.6264093,1730389607.6276817,1
34,1,3,1730389607.726534,1730389607.728906,1
35,1,3,1730389607.8267329,1730389607.8289242,1
36,1,3,1730389607.9259264,1730389607.9280944,1
37,1,3,1730389608.0260925,1730389608.0283039,1
38,1,3,1730389608.126328,1730389608.1290011,1
39,1,3,1730389608.2265646,1730389608.2288094,1
40,1,3,1730389608.3273535,1730389608.3296857,1
41,1,3,1730389608.4260004,1730389608.4282014,1
42,1,3,1730389608.5262418,1730389608.5298226,1
43,1,3,1730389608.6264615,1730389608.6277666,1
44,1,3,1730389608.7265594,1730389608.7332506,1
45,1,3,1730389608.8266957,1730389608.8344343,1
46,1,3,1730389608.9258978,1730389608.9278276,1
47,1,3,1730389609.0260177,1730389609.0280182,1
48,1,3,1730389609.126299,1730389609.1284955,1
49,1,3,1730389609.226461,1730389609.2284594,1
50,1,3,1730389609.3266842,1730389609.3286347,1
51,1,3,1730389609.4258933,1730389609.4269981,1
52,1,3,1730389609.5260212,1730389609.527974,1
53,1,3,1730389609.6265059,1730389609.6287344,1
54,1,3,1730389609.7264447,1730389609.728518,1
55,1,3,1730389609.8265991,1730389609.8284519,1
56,1,3,1730389609.9258344,1730389609.9277194,1
57,1,3,1730389610.0259726,1730389610.027004,1
58,1,3,1730389610.126249,1730389610.127281,1
59,1,3,1730389610.2264535,1730389610.2283976,1
60,1,3,1730389610.3265998,1730389610.327633,1
61,1,3,1730389610.4258487,1730389610.4268677,1
62,1,3,1730389610.525951,1730389610.5270147,1
63,1,3,1730389610.6259203,1730389610.627918,1
64,1,3,1730389610.726449,1730389610.7287233,1
65,1,3,1730389610.8266878,1730389610.8290544,1
66,1,3,1730389610.925836,1730389610.9277663,1
67,1,3,1730389611.0259278,1730389611.0277662,1
68,1,3,1730389611.126184,1730389611.129227,1
69,1,3,1730389611.2265735,1730389611.2283926,1
70,1,3,1730389611.3265667,1730389611.3283343,1
71,1,3,1730389611.4257057,1730389611.4275978,1
72,1,3,1730389611.5259557,1730389611.5277386,1
73,1,3,1730389611.6260712,1730389611.6277633,1
74,1,3,1730389611.7261307,1730389611.7278345,1
75,1,3,1730389611.826506,1730389611.8273993,1
76,1,3,1730389611.9256098,1730389611.9274018,1
77,1,3,1730389612.0257246,1730389612.027459,1
78,1,3,1730389612.1262157,1730389612.1279905,1
79,1,3,1730389612.2267308,1730389612.2284548,1
80,1,3,1730389612.3263557,1730389612.3279693,1
81,1,3,1730389612.4264052,1730389612.4278905,1
82,1,3,1730389612.5256007,1730389618.0259824,1
83,1,3,1730389612.625766,1730389618.0750432,1
84,1,3,1730389612.7258177,1730389618.0756745,1
85,1,3,1730389612.8260176,1730389618.0762775,1
86,1,3,1730389612.9261603,1730389618.0772328,1
87,1,3,1730389613.026448,1730389618.078281,1
88,1,3,1730389613.1256454,1730389618.0792382,1
89,1,3,1730389613.2257905,1730389618.0799453,1
90,1,3,1730389613.32602,1730389618.0806994,1
91,1,3,1730389613.4261596,1730389618.0813644,1
92,1,3,1730389613.526849,1730389618.0819807,1
93,1,3,1730389613.625762,1730389618.082635,1
94,1,3,1730389613.7256424,1730389618.0832453,1
95,1,3,1730389613.8258357,1730389618.0839705,1
96,1,3,1730389613.925996,1730389618.0845385,1
97,1,3,1730389614.0261881,1730389618.0850785,1
98,1,3,1730389614.1264057,1730389618.085775,1
99,1,3,1730389614.2255254,1730389618.086378,1
