,term,leaderId,creationTime,storageTime,serverId
0,0,-1,,,10
1,1,7,1730498613.662465,1730498613.7307675,10
2,1,7,1730498613.7255433,1730498613.7337651,10
3,1,7,1730498613.8652482,1730498613.8759105,10
4,1,7,1730498613.96489,1730498613.97184,10
5,1,7,1730498614.08975,1730498614.1001306,10
6,1,7,1730498614.1147952,1730498614.1188717,10
7,1,7,1730498614.1379116,1730498614.1417158,10
8,1,7,1730498614.1640456,1730498614.1687212,10
9,1,7,1730498614.2097793,1730498614.2137434,10
10,1,7,1730498614.2635286,1730498614.2692974,10
11,1,7,1730498614.3635824,1730498614.3687286,10
12,1,7,1730498614.4637687,1730498614.4684424,10
13,1,7,1730498614.5645967,1730498614.5728388,10
14,1,7,1730498614.6025906,1730498614.6063247,10
15,1,7,1730498614.6312513,1730498614.6342313,10
16,1,7,1730498614.652665,1730498614.6552727,10
17,1,7,1730498614.674201,1730498614.6767106,10
18,1,7,1730498614.695528,1730498614.697779,10
19,1,7,1730498614.7167578,1730498614.7194388,10
20,1,7,1730498614.7379055,1730498614.7402203,10
21,1,7,1730498614.7623,1730498614.7657604,10
22,1,7,1730498614.8035266,1730498614.805865,10
23,1,7,1730498614.8447106,1730498614.8474886,10
24,1,7,1730498614.9634216,1730498614.96684,10
25,1,7,1730498615.0625587,1730498615.0673132,10
26,1,7,1730498615.0923297,1730498615.09482,10
27,1,7,1730498615.1178136,1730498615.1201737,10
28,1,7,1730498615.1390822,1730498615.1502213,10
29,1,7,1730498615.16054,1730498615.1627924,10
30,1,7,1730498615.1819649,1730498615.184302,10
31,1,7,1730498615.2032506,1730498615.2054932,10
32,1,7,1730498615.224449,1730498615.2265687,10
33,1,7,1730498615.24558,1730498615.2476525,10
34,1,7,1730498615.26672,1730498615.2687833,10
35,1,7,1730498615.2878551,1730498615.2898278,10
36,1,7,1730498615.3089209,1730498615.3109384,10
37,1,7,1730498615.3300622,1730498615.3320396,10
38,1,7,1730498615.3539104,1730498615.3558357,10
39,1,7,1730498615.3751597,1730498615.377122,10
40,1,7,1730498615.3962212,1730498615.3982518,10
41,1,7,1730498615.417488,1730498615.4193304,10
42,1,7,1730498615.4448678,1730498615.4469328,10
43,1,7,1730498615.4703116,1730498615.472236,10
44,1,7,1730498615.5146503,1730498615.5167267,10
45,1,7,1730498615.5555637,1730498615.5575502,10
46,1,7,1730498615.6015508,1730498615.6036038,10
47,1,7,1730498615.6227756,1730498615.6247308,10
48,1,7,1730498615.6526747,1730498615.6548116,10
49,1,7,1730498615.6809323,1730498615.6829505,10
50,1,7,1730498615.7025337,1730498615.7045493,10
51,1,7,1730498615.7236814,1730498615.725815,10
52,1,7,1730498615.7448635,1730498615.7467744,10
53,1,7,1730498615.7659326,1730498615.7678092,10
54,1,7,1730498615.7870843,1730498615.788912,10
55,1,7,1730498615.8082032,1730498615.8099902,10
56,1,7,1730498615.83734,1730498615.8393166,10
57,1,7,1730498615.85847,1730498615.8602738,10
58,1,7,1730498615.8796291,1730498615.8814735,10
59,1,7,1730498615.9007006,1730498615.9025278,10
60,1,7,1730498615.9217472,1730498615.9236069,10
61,1,7,1730498615.9430473,1730498615.9448345,10
62,1,7,1730498615.9641263,1730498615.9658701,10
63,1,7,1730498615.9855204,1730498615.9872947,10
64,1,7,1730498616.0111687,1730498616.0131633,10
65,1,7,1730498616.0367234,1730498616.0384984,10
66,1,7,1730498616.0602589,1730498616.0621257,10
67,1,7,1730498616.0882902,1730498616.0901864,10
68,1,7,1730498616.1181035,1730498616.1198313,10
69,1,7,1730498616.142885,1730498616.1446383,10
70,1,7,1730498616.1675303,1730498616.170375,10
71,1,7,1730498616.191632,1730498616.1936193,10
72,1,7,1730498616.2128816,1730498616.2146115,10
73,1,7,1730498616.2340672,1730498616.2357419,10
74,1,7,1730498616.2553184,1730498616.257031,10
75,1,7,1730498616.2764258,1730498616.27834,10
76,1,7,1730498616.2974827,1730498616.299237,10
77,1,7,1730498616.3185258,1730498616.3202689,10
78,1,7,1730498616.3402967,1730498616.3421772,10
79,1,7,1730498616.369019,1730498616.3750694,10
80,1,7,1730498616.3911967,1730498616.3930228,10
81,1,7,1730498616.4137216,1730498616.415637,10
82,1,7,1730498616.4359944,1730498616.4377668,10
83,1,7,1730498616.4601555,1730498616.4618988,10
84,1,7,1730498616.4867606,1730498616.488427,10
85,1,7,1730498616.5141435,1730498616.5159335,10
86,1,7,1730498616.5409338,1730498616.5435636,10
87,1,7,1730498616.5619903,1730498616.5645325,10
88,1,7,1730498616.5830364,1730498616.5846877,10
89,1,7,1730498616.6074476,1730498616.6092777,10
90,1,7,1730498616.63483,1730498616.636772,10
91,1,7,1730498616.6568398,1730498616.658649,10
92,1,7,1730498616.6779165,1730498616.6795568,10
93,1,7,1730498616.6989436,1730498616.7007654,10
94,1,7,1730498616.719979,1730498616.7216284,10
95,1,7,1730498616.7414882,1730498616.7432446,10
96,1,7,1730498616.76255,1730498616.7652953,10
97,1,7,1730498616.7840183,1730498616.7857058,10
98,1,7,1730498616.8056247,1730498616.807263,10
99,1,7,1730498616.8266687,1730498616.8283296,10
100,1,7,1730498616.8477159,1730498616.849411,10
101,1,7,1730498616.868763,1730498616.8710709,10
102,1,7,1730498616.889797,1730498616.8913813,10
103,1,7,1730498616.9150388,1730498616.9166336,10
104,1,7,1730498616.9360738,1730498616.9377844,10
105,1,7,1730498616.9571073,1730498616.958745,10
106,1,7,1730498616.9781497,1730498616.9799614,10
107,1,7,1730498616.9993947,1730498617.0011785,10
108,1,7,1730498617.0312533,1730498617.0329854,10
109,1,7,1730498617.0523634,1730498617.0539358,10
110,1,7,1730498617.0733993,1730498617.0749567,10
111,1,7,1730498617.0944362,1730498617.0967872,10
112,1,7,1730498617.1256895,1730498617.1273613,10
113,1,7,1730498617.1508274,1730498617.1523476,10
114,1,7,1730498617.1738906,1730498617.1754155,10
115,1,7,1730498617.1949444,1730498617.1965365,10
116,1,7,1730498617.2159963,1730498617.2175841,10
117,1,7,1730498617.2371528,1730498617.2387202,10
118,1,7,1730498617.2582014,1730498617.2601092,10
119,1,7,1730498617.279245,1730498617.2807698,10
120,1,7,1730498617.3034415,1730498617.3049545,10
121,1,7,1730498617.3244762,1730498617.326038,10
122,1,7,1730498617.3455155,1730498617.3470943,10
123,1,7,1730498617.3688786,1730498617.3704095,10
124,1,7,1730498617.390695,1730498617.3922248,10
125,1,7,1730498617.4117258,1730498617.4133222,10
126,1,7,1730498617.4413595,1730498617.4428568,10
127,1,7,1730498617.462388,1730498617.4644897,10
128,1,7,1730498617.4834175,1730498617.4849632,10
129,1,7,1730498617.5058951,1730498617.5074449,10
130,1,7,1730498617.527322,1730498617.52882,10
131,1,7,1730498617.548353,1730498617.5498807,10
132,1,7,1730498617.56939,1730498617.5710123,10
133,1,7,1730498617.5904198,1730498617.5919375,10
134,1,7,1730498617.6118314,1730498617.6134171,10
135,1,7,1730498617.634141,1730498617.635652,10
136,1,7,1730498617.6551793,1730498617.6566758,10
137,1,7,1730498617.682901,1730498617.6845007,10
138,1,7,1730498617.70398,1730498617.7054718,10
139,1,7,1730498617.7250247,1730498617.7265291,10
140,1,7,1730498617.7460546,1730498617.7475305,10
141,1,7,1730498617.775408,1730498617.7770705,10
142,1,7,1730498617.7964435,1730498617.7979627,10
143,1,7,1730498617.8174784,1730498617.8189998,10
144,1,7,1730498617.8385088,1730498617.840034,10
145,1,7,1730498617.859542,1730498617.861114,10
146,1,7,1730498617.8869567,1730498617.8885405,10
147,1,7,1730498617.9079764,1730498617.9094706,10
148,1,7,1730498617.9290035,1730498617.9306004,10
149,1,7,1730498617.9509506,1730498617.952447,10
150,1,7,1730498617.9789157,1730498617.9804494,10
151,1,7,1730498618.001645,1730498618.0033689,10
152,1,7,1730498618.0226638,1730498618.0247023,10
153,1,7,1730498618.0436993,1730498618.045174,10
154,1,7,1730498618.0647235,1730498618.0662055,10
155,1,7,1730498618.0857544,1730498618.0873456,10
156,1,7,1730498618.1091104,1730498618.110596,10
157,1,7,1730498618.1301425,1730498618.1316411,10
158,1,7,1730498618.1542327,1730498618.1558661,10
159,1,7,1730498618.1752534,1730498618.1767225,10
160,1,7,1730498618.1962802,1730498618.1978319,10
161,1,7,1730498618.2173038,1730498618.2187471,10
162,1,7,1730498618.2383382,1730498618.239817,10
163,1,7,1730498618.2593615,1730498618.2608647,10
164,1,7,1730498618.2805433,1730498618.2820134,10
165,1,7,1730498618.3095915,1730498618.3111815,10
166,1,7,1730498618.3306148,1730498618.3321748,10
167,1,7,1730498618.351642,1730498618.3531737,10
168,1,7,1730498618.3726702,1730498618.3742228,10
169,1,7,1730498618.3936927,1730498618.3951888,10
170,1,7,1730498618.4152255,1730498618.416758,10
171,1,7,1730498618.4362552,1730498618.4378006,10
172,1,7,1730498618.4594202,1730498618.4611166,10
173,1,7,1730498618.48127,1730498618.4827406,10
174,1,7,1730498618.502297,1730498618.5040922,10
175,1,7,1730498618.5233228,1730498618.5252302,10
176,1,7,1730498618.5443497,1730498618.5460777,10
177,1,7,1730498618.5653734,1730498618.5667596,10
178,1,7,1730498618.586395,1730498618.587814,10
179,1,7,1730498618.6074257,1730498618.6088243,10
180,1,7,1730498618.6288135,1730498618.630284,10
181,1,7,1730498618.649839,1730498618.651244,10
182,1,7,1730498618.6708767,1730498618.672319,10
183,1,7,1730498618.6919374,1730498618.6934235,10
184,1,7,1730498618.716736,1730498618.7182581,10
185,1,7,1730498618.738419,1730498618.741011,10
186,1,7,1730498618.7598817,1730498618.761294,10
187,1,7,1730498618.781363,1730498618.7827644,10
188,1,7,1730498618.802385,1730498618.8040638,10
189,1,7,1730498618.8236163,1730498618.8251665,10
190,1,7,1730498618.844642,1730498618.8460088,10
191,1,7,1730498618.8656638,1730498618.8670418,10
192,1,7,1730498618.8961434,1730498618.897514,10
193,1,7,1730498618.9171643,1730498618.9184916,10
194,1,7,1730498618.93819,1730498618.939559,10
195,1,7,1730498618.9592223,1730498618.960623,10
196,1,7,1730498618.9802425,1730498618.981665,10
197,1,7,1730498619.0012689,1730498619.0026405,10
198,1,7,1730498619.0222898,1730498619.0236433,10
199,1,7,1730498619.0433116,1730498619.0446973,10
200,1,7,1730498619.0741994,1730498619.0755908,10
201,1,7,1730498619.0952299,1730498619.096576,10
202,1,7,1730498619.1162524,1730498619.1176062,10
203,1,7,1730498619.137281,1730498619.1386313,10
204,1,7,1730498619.158301,1730498619.1596541,10
205,1,7,1730498619.1891115,1730498619.190536,10
206,1,7,1730498619.2105618,1730498619.2119439,10
207,1,7,1730498619.2315826,1730498619.2330093,10
208,1,7,1730498619.2526336,1730498619.2540002,10
209,1,7,1730498619.2736638,1730498619.2750242,10
210,1,7,1730498619.2946851,1730498619.2960427,10
211,1,7,1730498619.3157122,1730498619.3170514,10
212,1,7,1730498619.3367302,1730498619.3380854,10
213,1,7,1730498619.3577635,1730498619.3590953,10
214,1,7,1730498619.3787892,1730498619.3801465,10
215,1,7,1730498619.3998137,1730498619.4011626,10
216,1,7,1730498619.4208364,1730498619.4221842,10
217,1,7,1730498619.4418612,1730498619.4432087,10
218,1,7,1730498619.46288,1730498619.4642413,10
219,1,7,1730498619.4839098,1730498619.485257,10
220,1,7,1730498619.504931,1730498619.5062838,10
221,1,7,1730498619.5298831,1730498619.531264,10
222,1,7,1730498619.551168,1730498619.5527034,10
223,1,7,1730498619.572187,1730498619.573549,10
224,1,7,1730498619.5932279,1730498619.5945587,10
225,1,7,1730498619.6142564,1730498619.6156251,10
226,1,7,1730498619.6353085,1730498619.636702,10
227,1,7,1730498619.6570373,1730498619.6585517,10
228,1,7,1730498619.678721,1730498619.680107,10
229,1,7,1730498619.699747,1730498619.7011094,10
230,1,7,1730498619.7207747,1730498619.7221427,10
231,1,7,1730498619.7418022,1730498619.743191,10
232,1,7,1730498619.7628276,1730498619.7641697,10
233,1,7,1730498619.7838545,1730498619.785242,10
234,1,7,1730498619.8048782,1730498619.806284,10
235,1,7,1730498619.8258948,1730498619.8272636,10
236,1,7,1730498619.8474722,1730498619.848853,10
237,1,7,1730498619.8684952,1730498619.8698394,10
238,1,7,1730498619.8895183,1730498619.890876,10
239,1,7,1730498619.9105408,1730498619.9119434,10
240,1,7,1730498619.9315617,1730498619.932894,10
241,1,7,1730498619.9525864,1730498619.95398,10
242,1,7,1730498619.973657,1730498619.9750342,10
243,1,7,1730498619.994703,1730498619.9960675,10
244,1,7,1730498620.015739,1730498620.0171018,10
245,1,7,1730498620.0367744,1730498620.0381496,10
246,1,7,1730498620.057796,1730498620.059155,10
247,1,7,1730498620.0788198,1730498620.0801566,10
248,1,7,1730498620.0998363,1730498620.1011968,10
249,1,7,1730498620.1208558,1730498620.1221857,10
250,1,7,1730498620.1430073,1730498620.1443632,10
251,1,7,1730498620.1642566,1730498620.166299,10
252,1,7,1730498620.1852884,1730498620.1866355,10
253,1,7,1730498620.206312,1730498620.207659,10
254,1,7,1730498620.2273343,1730498620.2286787,10
255,1,7,1730498620.2483597,1730498620.2497017,10
256,1,7,1730498620.273316,1730498620.2747133,10
257,1,7,1730498620.294601,1730498620.2959902,10
258,1,7,1730498620.316017,1730498620.3174236,10
259,1,7,1730498620.3374124,1730498620.3387685,10
260,1,7,1730498620.3586142,1730498620.36001,10
261,1,7,1730498620.3796322,1730498620.381016,10
262,1,7,1730498620.4006596,1730498620.4019954,10
263,1,7,1730498620.421676,1730498620.4230354,10
264,1,7,1730498620.4427001,1730498620.4440403,10
265,1,7,1730498620.463719,1730498620.4650762,10
266,1,7,1730498620.4847355,1730498620.4860861,10
267,1,7,1730498620.505757,1730498620.507116,10
268,1,7,1730498620.5349414,1730498620.5363193,10
269,1,7,1730498620.555981,1730498620.5573049,10
270,1,7,1730498620.5770028,1730498620.5783525,10
271,1,7,1730498620.598024,1730498620.5993898,10
272,1,7,1730498620.6190605,1730498620.620433,10
273,1,7,1730498620.640119,1730498620.6415155,10
274,1,7,1730498620.661136,1730498620.6625,10
275,1,7,1730498620.6821582,1730498620.6835299,10
276,1,7,1730498620.7031765,1730498620.7048202,10
277,1,7,1730498620.7242026,1730498620.7256007,10
278,1,7,1730498620.7512128,1730498620.752578,10
279,1,7,1730498620.772245,1730498620.773964,10
280,1,7,1730498620.7932773,1730498620.7948267,10
281,1,7,1730498620.8142905,1730498620.81584,10
282,1,7,1730498620.8353057,1730498620.8365889,10
283,1,7,1730498620.8563306,1730498620.8576322,10
284,1,7,1730498620.882868,1730498620.88419,10
285,1,7,1730498620.904079,1730498620.9054563,10
286,1,7,1730498620.9250982,1730498620.9264553,10
287,1,7,1730498620.946119,1730498620.9474158,10
288,1,7,1730498620.9671404,1730498620.9684508,10
289,1,7,1730498620.9881606,1730498620.9894712,10
290,1,7,1730498621.0091753,1730498621.0107822,10
291,1,7,1730498621.0301988,1730498621.0315897,10
292,1,7,1730498621.051222,1730498621.052536,10
293,1,7,1730498621.0722473,1730498621.0736053,10
294,1,7,1730498621.093267,1730498621.0945837,10
295,1,7,1730498621.1142886,1730498621.1156328,10
296,1,7,1730498621.1353037,1730498621.1366181,10
297,1,7,1730498621.1563272,1730498621.1576285,10
298,1,7,1730498621.1773422,1730498621.1786575,10
299,1,7,1730498621.19836,1730498621.1996634,10
300,1,7,1730498621.2193754,1730498621.2206898,10
301,1,7,1730498621.2422032,1730498621.243552,10
302,1,7,1730498621.2632658,1730498621.2653875,10
