,term,leaderId,creationTime,storageTime,serverId
0,0,-1,,,1
1,1,5,1730415750.4417267,1730415750.5083447,1
2,1,5,1730415750.4723403,1730415750.5124578,1
3,1,5,1730415750.5061264,1730415750.514941,1
4,1,5,1730415750.5540202,1730415750.5566318,1
5,1,5,1730415750.6445644,1730415750.6491153,1
6,1,5,1730415750.7435822,1730415750.7474518,1
7,1,5,1730415750.842926,1730415750.846841,1
8,1,5,1730415750.94357,1730415750.9472754,1
9,1,5,1730415751.0425246,1730415751.046198,1
10,1,5,1730415751.142702,1730415751.1463506,1
11,1,5,1730415751.243293,1730415751.2471058,1
12,1,5,1730415751.3433158,1730415751.346781,1
13,1,5,1730415751.4426003,1730415751.4497645,1
14,1,5,1730415751.5428114,1730415751.5482714,1
15,1,5,1730415751.6427622,1730415751.6461635,1
16,1,5,1730415751.7430606,1730415751.746209,1
17,1,5,1730415751.8422692,1730415751.845448,1
18,1,5,1730415751.9424546,1730415751.9464345,1
19,1,5,1730415752.042731,1730415752.047587,1
20,1,5,1730415752.1429067,1730415752.1460779,1
21,1,5,1730415752.2420547,1730415752.245421,1
22,1,5,1730415752.3426208,1730415752.3459349,1
23,1,5,1730415752.4424825,1730415752.4455147,1
24,1,5,1730415752.542701,1730415752.545642,1
25,1,5,1730415752.6428206,1730415752.6457481,1
26,1,5,1730415752.7423902,1730415752.7454565,1
27,1,5,1730415752.8423133,1730415752.8451464,1
28,1,5,1730415752.9423854,1730415752.9453983,1
29,1,5,1730415753.0425773,1730415753.0458157,1
30,1,5,1730415753.1427352,1730415753.145343,1
31,1,5,1730415753.2422192,1730415753.2438726,1
32,1,5,1730415753.3422477,1730415753.3441336,1
33,1,5,1730415753.4427867,1730415753.4457066,1
34,1,5,1730415753.542615,1730415753.5454528,1
35,1,5,1730415753.6418772,1730415753.6445615,1
36,1,5,1730415753.7421396,1730415753.744703,1
37,1,5,1730415753.843015,1730415753.8459823,1
38,1,5,1730415753.942765,1730415753.9458327,1
39,1,5,1730415754.042678,1730415754.04536,1
40,1,5,1730415754.1418962,1730415754.14437,1
41,1,5,1730415754.2420795,1730415754.2437174,1
42,1,5,1730415754.3423119,1730415754.3449767,1
43,1,5,1730415754.4424286,1730415754.448809,1
44,1,5,1730415754.5416133,1730415754.548325,1
45,1,5,1730415754.641775,1730415754.6461177,1
46,1,5,1730415754.7420118,1730415754.7445276,1
47,1,5,1730415754.8422375,1730415754.8437333,1
48,1,5,1730415754.9423332,1730415754.9452584,1
49,1,5,1730415755.0431747,1730415755.045642,1
50,1,5,1730415755.1418288,1730415755.1432598,1
51,1,5,1730415755.241777,1730415755.2432492,1
52,1,5,1730415755.3419554,1730415755.3433611,1
53,1,5,1730415755.4422894,1730415755.443694,1
54,1,5,1730415755.542393,1730415755.5445492,1
55,1,5,1730415755.6416802,1730415755.643253,1
56,1,5,1730415755.7417696,1730415755.7443213,1
57,1,5,1730415755.8420548,1730415755.8435938,1
58,1,5,1730415755.942309,1730415755.9437532,1
59,1,5,1730415756.0422835,1730415756.0446818,1
60,1,5,1730415756.1414979,1730415756.1437972,1
61,1,5,1730415756.241686,1730415756.2439387,1
62,1,5,1730415756.3419452,1730415756.3440475,1
63,1,5,1730415756.4422593,1730415756.4436448,1
64,1,5,1730415756.542272,1730415756.5445876,1
65,1,5,1730415756.6414852,1730415756.6440806,1
66,1,5,1730415756.7417912,1730415756.7442386,1
67,1,5,1730415756.8418903,1730415756.844126,1
68,1,5,1730415756.9421997,1730415756.9444273,1
69,1,5,1730415757.0424218,1730415757.044912,1
70,1,5,1730415757.141502,1730415757.144465,1
71,1,5,1730415757.2416604,1730415757.2430847,1
72,1,5,1730415757.341909,1730415757.3433008,1
73,1,5,1730415757.4420311,1730415757.4441254,1
74,1,5,1730415757.5423167,1730415757.5444064,1
75,1,5,1730415757.6415052,1730415757.6429312,1
76,1,5,1730415757.7416131,1730415757.7437434,1
77,1,5,1730415757.841812,1730415757.8440733,1
78,1,5,1730415757.9418917,1730415757.9440646,1
79,9,3,1730415765.5008633,1730415765.5131934,1
80,9,3,1730415765.528015,1730415765.5291598,1
81,9,3,1730415765.7032495,1730415765.7048008,1
82,9,3,1730415765.8013573,1730415765.802579,1
83,9,3,1730415765.9005687,1730415765.9025357,1
84,9,3,1730415766.0007544,1730415766.0018437,1
85,9,3,1730415766.1010933,1730415766.1030018,1
86,9,3,1730415766.201266,1730415766.2023935,1
87,9,3,1730415766.3014352,1730415766.3034575,1
88,9,3,1730415766.4006805,1730415766.4016979,1
89,9,3,1730415766.5007856,1730415766.5017042,1
90,9,3,1730415766.601103,1730415766.603032,1
91,9,3,1730415766.7012398,1730415766.7023144,1
92,9,3,1730415766.801501,1730415766.802509,1
93,9,3,1730415766.9008553,1730415766.9017158,1
94,9,3,1730415767.00081,1730415767.0024288,1
95,9,3,1730415767.1011214,1730415767.1021492,1
96,9,3,1730415767.201354,1730415767.2031136,1
97,9,3,1730415767.3005607,1730415767.3022356,1
98,9,3,1730415767.4005566,1730415767.4014146,1
99,9,3,1730415767.500975,1730415767.5018656,1
100,9,3,1730415767.6010678,1730415767.6026418,1
101,9,3,1730415767.7012005,1730415767.7023578,1
102,9,3,1730415767.800376,1730415767.8013046,1
103,9,3,1730415767.9005268,1730415767.9014313,1
104,9,3,1730415768.0008357,1730415768.0016034,1
105,9,3,1730415768.1010022,1730415768.1023433,1
106,9,3,1730415768.201334,1730415768.2022681,1
107,15,5,1730415768.913024,1730415768.9145393,1
108,15,5,1730415768.9342206,1730415768.9356117,1
109,15,5,1730415768.9557683,1730415768.9570801,1
110,15,5,1730415768.9769032,1730415768.978206,1
111,15,5,1730415769.0253677,1730415769.0267699,1
112,15,5,1730415769.0815063,1730415769.082848,1
113,15,5,1730415769.1135573,1730415769.1156628,1
114,15,5,1730415769.1673746,1730415769.1687088,1
115,15,5,1730415769.2085474,1730415769.2098875,1
116,15,5,1730415769.2533116,1730415769.2546384,1
117,15,5,1730415769.3133252,1730415769.3155155,1
118,15,5,1730415769.4134536,1730415769.415486,1
119,15,5,1730415769.5136178,1730415769.5153792,1
120,15,5,1730415769.613681,1730415769.6153276,1
121,15,5,1730415769.7140267,1730415769.7157671,1
122,15,5,1730415769.8132496,1730415769.8144236,1
123,15,5,1730415769.9134223,1730415769.9145865,1
124,15,5,1730415770.0135136,1730415770.0152814,1
125,15,5,1730415770.1137257,1730415770.1154447,1
126,15,5,1730415770.2139637,1730415770.2156627,1
127,15,5,1730415770.3140817,1730415770.3152313,1
128,15,5,1730415770.4132679,1730415770.415039,1
129,15,5,1730415770.5134065,1730415770.5151932,1
130,15,5,1730415770.6135652,1730415770.6154797,1
131,15,5,1730415770.7137866,1730415770.7155101,1
132,15,5,1730415770.8140762,1730415770.8158143,1
133,15,5,1730415770.9131827,1730415770.9148989,1
134,15,5,1730415771.0135944,1730415771.0148458,1
135,15,5,1730415771.113847,1730415771.1158,1
136,15,5,1730415771.2139535,1730415771.2164156,1
137,15,5,1730415771.3132873,1730415771.3150055,1
138,15,5,1730415771.4132953,1730415771.4150643,1
139,15,5,1730415771.513548,1730415771.515477,1
140,15,5,1730415771.6136873,1730415771.6153688,1
141,15,5,1730415771.7139335,1730415771.7156463,1
142,15,5,1730415771.8131173,1730415771.815977,1
143,15,5,1730415771.913345,1730415771.9150383,1
144,15,5,1730415772.0134065,1730415772.0151424,1
145,15,5,1730415772.1135836,1730415772.1152792,1
146,15,5,1730415772.213764,1730415772.2153456,1
147,15,5,1730415772.313978,1730415772.3157058,1
148,15,5,1730415772.4131894,1730415772.4149938,1
149,15,5,1730415772.5133524,1730415772.5145295,1
150,15,5,1730415772.6134717,1730415772.6145952,1
151,15,5,1730415772.713709,1730415772.714781,1
152,15,5,1730415772.8138802,1730415772.8149748,1
153,15,5,1730415772.9140406,1730415772.9151216,1
154,15,5,1730415773.0132165,1730415773.0143657,1
155,15,5,1730415773.113481,1730415773.1146164,1
156,15,5,1730415773.2136235,1730415773.2147279,1
157,15,5,1730415773.3137624,1730415773.3148363,1
158,15,5,1730415773.4140663,1730415773.415142,1
159,15,5,1730415773.5132158,1730415773.5143087,1
160,15,5,1730415773.6135795,1730415773.614739,1
161,15,5,1730415773.7137256,1730415773.715287,1
162,15,5,1730415773.8139415,1730415773.8150277,1
163,15,5,1730415773.9133127,1730415773.9143853,1
164,15,5,1730415774.0134933,1730415774.01525,1
165,15,5,1730415774.1135743,1730415774.1152034,1
166,15,5,1730415774.2139509,1730415774.2154992,1
167,15,5,1730415774.3140733,1730415774.3151395,1
168,15,5,1730415774.4133766,1730415774.4144413,1
169,15,5,1730415774.5134485,1730415774.5145462,1
170,15,5,1730415774.613441,1730415774.6151078,1
171,15,5,1730415774.713612,1730415774.715234,1
172,15,5,1730415774.8137815,1730415774.8153272,1
173,15,5,1730415774.914099,1730415774.9156806,1
174,15,5,1730415775.0131085,1730415775.0141308,1
175,15,5,1730415775.1132996,1730415775.1143816,1
176,15,5,1730415775.2134476,1730415775.2150526,1
177,15,5,1730415775.3136406,1730415775.3146944,1
178,15,5,1730415775.413851,1730415775.414957,1
179,15,5,1730415775.5139434,1730415775.515575,1
180,15,5,1730415775.613148,1730415775.6141856,1
181,15,5,1730415775.7132316,1730415775.714825,1
182,15,5,1730415775.8133278,1730415775.8148532,1
183,15,5,1730415775.913614,1730415775.9147007,1
184,15,5,1730415776.0137427,1730415776.0152817,1
185,15,5,1730415776.1139,1730415776.1151333,1
186,15,5,1730415776.2130854,1730415776.2146444,1
187,15,5,1730415776.3131893,1730415776.314731,1
188,15,5,1730415776.4133604,1730415776.4148653,1
189,15,5,1730415776.513561,1730415776.5152378,1
190,15,5,1730415776.6138759,1730415776.615813,1
191,15,5,1730415776.713943,1730415776.7156203,1
192,15,5,1730415776.8130977,1730415776.8146694,1
193,15,5,1730415776.9132385,1730415776.9147255,1
194,15,5,1730415777.0134437,1730415777.0154014,1
195,15,5,1730415777.1136408,1730415777.1152437,1
196,15,5,1730415777.213768,1730415777.2152932,1
197,15,5,1730415777.313954,1730415777.315516,1
198,15,5,1730415777.4130936,1730415777.4146922,1
199,15,5,1730415777.513284,1730415777.5147977,1
200,15,5,1730415777.613585,1730415777.6151412,1
201,15,5,1730415777.7135632,1730415777.7150571,1
202,15,5,1730415777.8136752,1730415777.8151517,1
203,15,5,1730415777.9138618,1730415777.9149573,1
204,15,5,1730415778.0130844,1730415778.0141363,1
205,15,5,1730415778.113357,1730415778.1144073,1
206,15,5,1730415778.2133715,1730415778.2144117,1
207,15,5,1730415778.3135543,1730415778.3145936,1
208,15,5,1730415778.4137175,1730415778.4147992,1
209,15,5,1730415778.5129006,1730415778.5139737,1
210,15,5,1730415778.6131005,1730415778.6141148,1
211,15,5,1730415778.71323,1730415778.7142892,1
212,15,5,1730415778.8133986,1730415778.8144429,1
213,15,5,1730415778.9135952,1730415778.9146214,1
214,15,5,1730415779.0138109,1730415779.015267,1
215,15,5,1730415779.112958,1730415779.1145003,1
216,15,5,1730415779.2131195,1730415779.2141666,1
217,15,5,1730415779.3132377,1730415779.3143008,1
218,15,5,1730415779.4134352,1730415779.4145143,1
219,15,5,1730415779.5136168,1730415779.5146842,1
220,34,4,1730415784.6043243,1730415784.6179626,1
221,34,4,1730415784.6289358,1730415784.630269,1
222,34,4,1730415784.8059332,1730415784.8076878,1
223,34,4,1730415784.827326,1730415784.8283966,1
224,34,4,1730415784.8743737,1730415784.8755352,1
225,34,4,1730415784.9048886,1730415784.906006,1
226,34,4,1730415785.0041528,1730415785.0053918,1
227,34,4,1730415785.1050398,1730415785.1078653,1
228,34,4,1730415785.2044926,1730415785.205761,1
229,36,3,1730415785.5479808,1730415790.8490217,1
230,36,3,1730415785.7589061,1730415790.8908741,1
231,36,3,1730415785.8485687,1730415790.8914936,1
232,36,3,1730415785.9488316,1730415790.892147,1
233,36,3,1730415786.0490026,1730415790.8927453,1
234,36,3,1730415786.1482415,1730415790.8933744,1
235,36,3,1730415786.2486327,1730415790.894033,1
236,36,3,1730415786.348812,1730415790.8946033,1
237,36,3,1730415786.4491122,1730415790.8952312,1
238,36,3,1730415786.5482295,1730415790.8958228,1
239,36,3,1730415786.6484563,1730415790.8964024,1
240,36,3,1730415786.7486086,1730415790.8969615,1
241,36,3,1730415786.8489442,1730415790.8975265,1
242,36,3,1730415786.9489663,1730415790.8980908,1
243,36,3,1730415787.048176,1730415790.8986804,1
244,36,3,1730415787.1483622,1730415790.8992908,1
245,36,3,1730415787.2485805,1730415790.8998492,1
246,36,3,1730415787.3487864,1730415790.9004154,1
247,36,3,1730415787.448981,1730415790.9009633,1
248,36,3,1730415787.5482042,1730415790.9015136,1
249,36,3,1730415787.6483564,1730415790.9020503,1
250,36,3,1730415787.748507,1730415790.9026093,1
251,36,3,1730415787.8488007,1730415790.9032085,1
252,36,3,1730415787.9489803,1730415790.9037545,1
253,36,3,1730415788.0481408,1730415790.9042835,1
254,36,3,1730415788.1483183,1730415790.9048183,1
255,36,3,1730415788.2485397,1730415790.9053445,1
256,36,3,1730415788.3487244,1730415790.905864,1
257,36,3,1730415788.4489033,1730415790.9063957,1
258,36,3,1730415788.5481257,1730415790.9069228,1
259,36,3,1730415788.648348,1730415790.9074752,1
260,36,3,1730415788.7485895,1730415790.9159236,1
261,36,3,1730415788.8486898,1730415790.9166484,1
262,36,3,1730415788.948869,1730415790.9173563,1
263,36,3,1730415789.0480945,1730415790.9185722,1
264,36,3,1730415789.1482913,1730415790.9192019,1
265,36,3,1730415789.2484908,1730415790.9198337,1
266,36,3,1730415789.3486755,1730415790.9204607,1
267,36,3,1730415789.4488392,1730415790.9210565,1
268,36,3,1730415789.5490394,1730415790.9216857,1
269,36,3,1730415789.648232,1730415790.9223304,1
270,36,3,1730415789.7483532,1730415790.9229417,1
271,36,3,1730415789.8484814,1730415790.9235628,1
272,36,3,1730415789.948673,1730415790.9241495,1
273,36,3,1730415790.0489404,1730415790.9247563,1
274,36,3,1730415790.1482472,1730415790.9253786,1
275,36,3,1730415790.2483304,1730415790.925994,1
276,36,3,1730415790.3485062,1730415790.9265802,1
277,36,3,1730415790.4487257,1730415790.9271655,1
278,36,3,1730415790.5489235,1730415790.9277437,1
279,36,3,1730415790.6490583,1730415790.928333,1
280,36,3,1730415790.7482226,1730415790.9289222,1
281,36,3,1730415790.8484254,1730415790.9294996,1
282,36,3,1730415790.8696046,1730415790.9300463,1
283,36,3,1730415790.890745,1730415790.93062,1
284,36,3,1730415790.9157906,1730415790.9311545,1
285,36,3,1730415790.9482856,1730415790.9490485,1
286,36,3,1730415790.988325,1730415790.9890501,1
287,36,3,1730415791.0488703,1730415791.049412,1
288,36,3,1730415791.148207,1730415791.1492028,1
289,36,3,1730415791.2482889,1730415791.248894,1
290,36,3,1730415791.348448,1730415791.3490803,1
291,36,3,1730415791.4487538,1730415791.4493198,1
292,36,3,1730415791.5489326,1730415791.5494971,1
293,36,3,1730415791.6481218,1730415791.648615,1
294,36,3,1730415791.7483203,1730415791.7493496,1
295,36,3,1730415791.8485034,1730415791.8494594,1
296,36,3,1730415791.948732,1730415791.9497993,1
297,36,3,1730415791.9699364,1730415791.9704669,1
298,36,3,1730415791.9910645,1730415791.9916058,1
